POBLACION,CVEGEO
175,"1901900010011010"
211,"1901900010011020"
103,"1901900010011006"
131,"1901900010011007"
214,"1901900010011008"
140,"1901900010011009"
148,"1901900010011019"
75,"1901900010312007"
173,"1901900010609004"
178,"1901900010609001"
73,"1901900010026048"
63,"1901900010026013"
38,"1901900010543044"
165,"1901900010609007"
77,"1901900010609003"
290,"1901900010609005"
283,"1901900010609009"
297,"1901900010609010"
327,"1901900010609011"
205,"1901900010327011"
39,"1901900010312012"
169,190190001005A034
101,"1901900010488006"
31,"1901900010488004"
120,"1901900010488039"
68,"1901900010581005"
46,"1901900010581006"
8,"1901900010581008"
105,"1901900010543034"
79,"1901900010488012"
152,"1901900010488037"
106,"1901900010488036"
160,"1901900010488007"
0,"1901900010488044"
25,"1901900010261053"
33,"1901900010543035"
135,"1901900010581004"
21,"1901900010261056"
17,"1901900010261057"
0,
18,"1901900010261055"
274,"1901900010469013"
56,"1901900010469059"
26,"1901900010469065"
0,"1901900010469016"
72,"1901900010469058"
71,"1901900010469057"
293,"1901900010223046"
51,"1901900010581031"
43,"1901900010420040"
101,"1901900010115014"
130,"1901900010581014"
55,"1901900010115020"
66,"1901900010115032"
39,190190001044A017
13,190190001044A034
25,190190001044A033
147,190190001037A017
60,"1901900010416033"
0,"1901900010261005"
54,190190001037A009
12,"1901900010435045"
0,
85,"1901900010469011"
76,"1901900010469014"
57,"1901900010399031"
0,
353,"1901900010435010"
38,"1901900010435018"
105,"1901900010469060"
141,"1901900010469061"
0,190190001044A001
70,"1901900010469004"
79,"1901900010543010"
5,"1901900010543009"
0,"1901900010543006"
254,"1901900010435015"
15,"1901900010435039"
202,"1901900010435031"
0,
0,
0,190190001044A045
53,"1901900010100024"
85,"1901900010098031"
79,"1901900010100029"
95,"1901900010100030"
109,"1901900010079009"
160,"1901900010079007"
53,"1901900010100014"
21,"1901900010098026"
0,"1901900010350021"
93,"1901900010079008"
98,"1901900010350008"
66,"1901900010079017"
0,"1901900010350025"
126,"1901900010079016"
57,"1901900010098030"
0,"1901900010350026"
27,"1901900010100034"
103,"1901900010083032"
102,"1901900010083025"
47,"1901900010098033"
53,"1901900010098038"
49,"1901900010098039"
83,"1901900010100015"
26,"1901900010098025"
10,"1901900010079006"
51,"1901900010079030"
88,"1901900010083039"
0,"1901900010100031"
94,"1901900010100023"
70,"1901900010098027"
149,"1901900010098034"
97,"1901900010100022"
697,"1901900010079046"
299,"1901900010079039"
157,"1901900010079029"
82,"1901900010098014"
343,"1901900010098015"
253,"1901900010098017"
0,"1901900010261014"
62,"1901900010350006"
