REGION,MANZANA,LOTE,SHAPE_AREA,NOMBRE_COL,CALLE,NIVELES,US_ACT2020,RML
"30","026","010",118.4901484414,VALLE DE VASCONCELOS,PRICILIANO SILLER 318,"2",HU,30 026 010
"30","026","009",118.8991872759,VALLE DE VASCONCELOS,PRICILIANO SILLER 316,"2",HU,30 026 009
"30","026","008",120.6042311713,VALLE DE VASCONCELOS,PRISCILIANO SILLER 314,"2",HU,30 026 008
"30","026","007",117.4263504606,VALLE DE VASCONCELOS,PRICILIANO SILLER 312,"2",HU,30 026 007
"30","026","006",119.7428607161,VALLE DE VASCONCELOS,PRICILIANO SILLER 310,"2",HU,30 026 006
"30","026","005",120.4332659148,VALLE DE VASCONCELOS,PRICILIANO SILLER 308,"2",HU,30 026 005
"30","026","004",117.6116604532,VALLE DE VASCONCELOS,PRICILIANO SILLER 306,"2",HU,30 026 004
"30","026","003",120.4010561558,VALLE DE VASCONCELOS,PRICILIANO SILLER 304,"2",HU,30 026 003
"30","026","002",117.0831112008,VALLE DE VASCONCELOS,PRICILIANO SILLER 302,"2",HU,30 026 002
"30","010","040",81.48481137413,,CALLE 4 L40 M10,"1",HU,30 010 040
"30","010","041",83.91541389618,,CALLE 4 L41 M10,"1",HU,30 010 041
"30","010","036",100.1647355494,,,"0",HU,30 010 036
"30","010","035",82.35263759242,,PRISCILIANO SILLER 206,"2",HU,30 010 035
"30","010","034",76.14934697982,,PRISCILIANO SILLER 204,"2",HU,30 010 034
"30","010","033",77.67750083227,GARZA AYALA,PRISCILIANO SILLER 202,"2",HU,30 010 033
"30","010","032",75.86816018476,LAZARO GARZA AYALA,PRISCILIANO SILLER 200,"2",HU,30 010 032
"30","010","031",75.86483338578,CONJ HAB GARZA AYALA,,"2",HU,30 010 031
"30","010","030",75.39487797174,GARZA AYALA,,"2",HU,30 010 030
"30","010","028",72.56545255821,CONJ HAB GARZA AYALA,PRISCILIANO SILLER 192,"2",HU,30 010 028
"30","010","027",77.86996662076,GARZA AYALA,PRISCILIANO SILLER 190,"2",HU,30 010 027
"30","010","026",77.04838322017,GARZA AYALA,,"2",HU,30 010 026
"30","010","025",81.33949139642,,,"2",HU,30 010 025
"30","010","024",81.38660102176,GARZA AYALA,,"2",HU,30 010 024
"30","010","023",82.13307306321,GARZA AYALA,PRISCILIANO SILLER 162,"2",HU,30 010 023
"30","010","022",83.15956598849,CONJ HAB GARZA AYALA,,"2",HU,30 010 022
"30","010","021",87.9403830089,,PRISCILIANO SILLER 178,"2",HU,30 010 021
"30","010","020",86.48745332906,GARZA AYALA,PRISCILIANO SILLER 176,"2",HU,30 010 020
"30","010","019",81.07796538226,GARZA AYALA,PRICILIANO SILLER 174,"2",HU,30 010 019
"30","010","018",80.46652579253,CONJ HAB GARZA AYALA,PRISCILIANO SILLER 172,"2",HU,30 010 018
"30","010","017",78.87606171275,GARZA AYALA,,"2",HU,30 010 017
"30","010","016",80.24256357918,CONJ HAB GARZA AYALA,PRISCILIANO SILLER 168,"2",HU,30 010 016
"30","010","015",80.10063706096,GARZA AYALA,PRISCILIANO SILLER 166,"2",HU,30 010 015
"30","036","001",487.8682187136,,,"0",BU,30 036 001
"30","036","002",99.83576221658,VALLE DE VASCONCELOS,L GARZA AYALA 1227,"2",HU,30 036 002
"30","036","007",112.3790063512,VALLE DE VASCONCELOS,L GARZA AYALA 1217,"2",HU,30 036 007
"30","036","008",124.9779827209,VALLE DE VASCONCELOS,L GARZA AYALA 1215,"2",HU,30 036 008
"30","036","009",121.4874489276,VALLE DE VASCONCELOS,L GARZA AYALA 1213,"2",HU,30 036 009
"30","036","010",127.6189121693,VALLE DE VASCONCELOS,LAZARO GARZA AYALA 1211,"2",HU,30 036 010
"30","036","012",124.7291651337,VALLE DE VASCONCELOS,LAZARO GARZA AYALA 1207,"2",HU,30 036 012
"30","036","013",118.4486228018,VALLE DE VASCONCELOS,L GARZA AYALA 1205,"2",HU,30 036 013
"30","036","015",283.6874084928,VALLE DE VASCONCELOS,L GARZA AYALA L15 M11,"0",BU,30 036 015
"30","036","004",108.1357988898,VALLE DE VASCONCELOS,L GARZA AYALA 1223,"2",HU,30 036 004
"30","036","005",107.8830392872,VALLE DE VASCONCELOS,L GARZA AYALA 1221,"2",HU,30 036 005
"30","036","011",130.2547327367,VALLE DE VASCONCELOS,L GARZA AYALA 1209,"2",HU,30 036 011
"30","036","014",133.6521424849,VALLE DE VASCONCELOS,L GARZA AYALA 1203,"2",HU,30 036 014
"30","036","003",105.6047758557,VALLE DE VASCONCELOS,LAZARO GARZA AYALA 1225,"2",HU,30 036 003
"30","036","006",109.5258014019,VALLE DE VASCONCELOS,L GARZA AYALA 1219,"2",HU,30 036 006
"30","011","001",175.8539974988,,,"0",HU,30 011 001
"30","023","009",242.6638246358,,,"2",HU,30 023 009
"30","033","001",284.9787305093,VALLE DE VASCONCELOS,JUSTO SIERRA 100,"2",HU,30 033 001
"30","033","008",197.2165434597,VALLE DE VASCONCELOS,JUSTO SIERRA 114,"2",HU,30 033 008
"30","033","009",178.6645232265,VALLE DE VASCONCELOS,JUSTO SIERRA 116,"2",HU,30 033 009
"30","033","018",305.7624780102,VALLE DE VASCONCELOS,JUSTO SIERRA 134,"2",HU,30 033 018
"30","033","024",127.8023981059,VALLE DE VASCONCELOS,JUSTO SIERRA 146,"2",HU,30 033 024
"30","031","001",5287.030852171,,,"0",EA,30 031 001
"30","029","001",271.6985284991,,,"0",HU,30 029 001
"30","029","002",159.263073651,,,"2",HU,30 029 002
"30","032","029",121.1139114411,VALLE DE VASCONCELOS,JUSTO SIERRA 215,"2",HU,30 032 029
"30","032","030",119.4923053147,VALLE DE VASCONCELOS,JUSTO SIERRA 213,"2",HU,30 032 030
"30","032","008",118.0964527787,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 414,"2",HU,30 032 008
"30","032","007",116.186200649,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 412,"2",HU,30 032 007
"30","032","031",121.077043811,VALLE DE VASCONCELOS,EPIGMENIO GARCIA 211,"2",HU,30 032 031
"30","032","006",117.3933349277,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 410,"2",HU,30 032 006
"30","032","032",120.663279154,VALLE DE VASCONCELOS,JUSTO SIERRA 209,"2",HU,30 032 032
"30","032","005",116.6577809024,VALLE DE VASCONCELOS,NATIVIDAD GARCIA L5 M7,"2",HU,30 032 005
"30","032","033",121.6476896372,VALLE DE VASCONCELOS,JUSTO SIERRA 207,"2",HU,30 032 033
"30","032","004",117.2714262377,VALLE DE VASCONCELOS,NATIVIDAD GARCIA L4 M7,"2",HU,30 032 004
"30","032","034",122.1759733885,VALLE DE VASCONCELOS,EPIGMENIO GARCIA 205,"2",HU,30 032 034
"30","032","003",117.4397889566,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 404,"2",HU,30 032 003
"30","032","035",120.8885222684,VALLE DE VASCONCELOS,JUSTO SIERRA 203,"2",HU,30 032 035
"30","032","002",115.8662319709,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 402,"2",HU,30 032 002
"30","032","028",120.5158020418,VALLE DE VASCONCELOS,JUSTO SIERRA 217,"2",HU,30 032 028
"30","025","005",112.6507791091,,PRISCILIANO SILLER 108 G AY,"2",M1,30 025 005
"30","025","004",133.5438260447,GARZA AYALA,PRISCILIANO SILLER 106,"2",HU,30 025 004
"30","025","003",130.9848300955,GARZA AYALA,PRISCILIANO SILLER 104,"2",HU,30 025 003
"30","025","010",118.0193253942,,PRISCILIANO SILLER 118 G AY,"2",HU,30 025 010
"30","025","011",114.7126994971,,PRISCILIANO SILLER 120 G AY,"2",HU,30 025 011
"30","025","012",107.4028751263,GRAL GARZA AYALA,PRISCILIANO SILLER 122,"2",HU,30 025 012
"30","025","013",105.6053849235,,PRISCILIANO SILLER 124 G AY,"2",HU,30 025 013
"30","025","014",108.9692989901,GARZA AYALA,PRISCILINO SILLER 126,"2",HU,30 025 014
"30","025","015",107.0657439001,GARZA AYALA,PRISCILIANO SILLER 128,"2",HU,30 025 015
"30","025","016",106.5641611488,GARZA AYALA,PRISCILIANO SILLER 130,"2",HU,30 025 016
"30","025","017",107.6125729362,GARZA AYALA,PRISCILIANO SILLER 132,"2",HU,30 025 017
"30","025","018",105.9827693415,GARZA AYALA,PRISCILIANO SILLER 134,"2",HU,30 025 018
"30","025","019",93.67414548823,GRAL GARZA AYALA,PRISCILIANO SILLER 136,"2",M1,30 025 019
"30","034","049",202.1231176702,VALLE DE VASCONCELOS,JUSTO SIERRA 1302,"2",HU,30 034 049
"30","034","001",147.7825334442,VALLE DE VASCONCELOS,ALBERTO C SILLER 240,"2",HU,30 034 001
"30","034","043",129.0336463175,VALLE DE VASCONCELOS,JUSTO SIERRA S/N,"2",HU,30 034 043
"30","034","008",125.5686062114,VALLE DE VASCONCELOS,ALBERTO C SILLER 226,"2",HU,30 034 008
"30","034","007",148.633770967,VALLE DE VASCONCELOS,ALBERTO C SILLER 228,"2",HU,30 034 007
"30","034","033",206.7135451942,VALLE DE VASCONCELOS,JUSTO SIERRA 133,"2",HU,30 034 033
"30","034","016",219.8741071882,VALLE DE VASCONCELOS,ALBERTO C SILLER 210,"2",HU,30 034 016
"30","034","020",238.4207139813,VALLE DE VASCONCELOS,ALBERTO C SILLER 202,"2",HU,30 034 020
"30","034","021",134.7650828838,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 300,"2",HU,30 034 021
"30","034","026",166.115008033,VALLE DE VASCONCELOS,JUSTO SIERRA 147,"2",HU,30 034 026
"30","034","024",119.8170973797,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 306,"2",HU,30 034 024
"30","034","025",132.1212813916,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 801,"2",HU,30 034 025
"30","034","023",121.9030074734,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 304,"2",HU,30 034 023
"30","034","022",122.6103684712,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 302,"2",HU,30 034 022
"30","034","045",120.5608223745,VALLE DE VASCONCELOS,EPIGMENIO GARCIA 109,"2",HU,30 034 045
"30","034","046",119.4886510887,VALLE DE VASCONCELOS,JUSTO SIERRA 107,"0",HU,30 034 046
"30","034","005",123.4720689363,VALLE DE VASCONCELOS,ALBERTO C SILLER 232,"0",HU,30 034 005
"30","034","004",122.1594920268,VALLE DE VASCONCELOS,ALBERTO C SILLER 234,"0",HU,30 034 004
"30","034","047",120.4542332977,VALLE DE VASCONCELOS,JUSTO SIERRA 105,"0",HU,30 034 047
"30","034","003",122.9274813412,VALLE DE VASCONCELOS,ALBERTO C SILLER 236,"0",HU,30 034 003
"30","034","048",120.8616230473,VALLE DE VASCONCELOS,JUSTO SIERRA 103,"2",HU,30 034 048
"30","034","002",123.1224076145,VALLE DE VASCONCELOS,ALBERTO C SILLER 238,"2",HU,30 034 002
"30","034","044",136.2871127892,VALLE DE VASCONCELOS,JUSTO SIERRA 111,"2",HU,30 034 044
"30","034","006",139.8434027999,VALLE DE VASCONCELOS,ALBERTO C SILLER 230,"2",HU,30 034 006
"30","034","012",125.4780074898,VALLE DE VASCONCELOS,ALBERTO C SILLER 218,"2",HU,30 034 012
"30","034","011",120.8248514408,VALLE DE VASCONCELOS,ALBERTO C SILLER 220,"0",HU,30 034 011
"30","034","039",120.2764719,VALLE DE VASCONCELOS,JUSTO SIERRA 121,"0",HU,30 034 039
"30","034","010",121.1097644819,VALLE DE VASCONCELOS,ALBERTO C SILLER 222,"0",HU,30 034 010
"30","034","040",117.5305177958,VALLE DE VASCONCELOS,JUSTO SIERRA 119,"0",HU,30 034 040
"30","034","009",125.7977583086,VALLE DE VASCONCELOS,ALBERTO C SILLER 224,"2",HU,30 034 009
"30","034","041",122.6175186547,VALLE DE VASCONCELOS,JUSTO SIERRA 117,"2",HU,30 034 041
"30","034","042",118.3085909483,VALLE DE VASCONCELOS,JUSTO SIERRA 115,"2",HU,30 034 042
"30","034","038",118.3982076024,VALLE DE VASCONCELOS,JUSTO SIERRA 123,"2",HU,30 034 038
"30","034","037",121.0421752683,VALLE DE VASCONCELOS,JUSTO SIERRA 125,"2",HU,30 034 037
"30","034","013",122.2309278526,VALLE DE VASCONCELOS,ALBERTO C SILLER 216,"2",HU,30 034 013
"30","034","036",119.4520799226,VALLE DE VASCONCELOS,JUSTO SIERRA 127,"2",HU,30 034 036
"30","034","014",120.8180205743,VALLE DE VASCONCELOS,ALBERTO C SILLER 214,"2",HU,30 034 014
"30","034","035",115.8982984206,VALLE DE VASCONCELOS,JUSTO SIERRA 129,"2",HU,30 034 035
"30","034","015",135.6703597478,VALLE DE VASCONCELOS,ALBERTO C SILLER 212,"2",HU,30 034 015
"30","034","034",118.2909300473,VALLE DE VASCONCELOS,JUSTO SIERRA 131,"2",HU,30 034 034
"30","034","017",124.6078947374,VALLE DE VASCONCELOS,ALBERTO C SILLER 208,"2",HU,30 034 017
"30","034","032",124.7830650785,VALLE DE VASCONCELOS,JUSTO SIERRA 135,"2",HU,30 034 032
"30","034","018",118.9338374133,VALLE DE VASCONCELOS,ALBERTO C SILLER 206,"2",HU,30 034 018
"30","034","031",119.950499612,VALLE DE VASCONCELOS,JUSTO SIERRA 137,"2",HU,30 034 031
"30","034","019",120.8801786309,VALLE DE VASCONCELOS,ALBERTO C SILLER 204,"2",HU,30 034 019
"30","034","030",122.7844897196,VALLE DE VASCONCELOS,JUSTO SIERRA 139,"2",HU,30 034 030
"30","034","029",122.2470196509,VALLE DE VASCONCELOS,JUSTO SIERRA 141,"2",HU,30 034 029
"30","034","028",123.6140528797,VALLE DE VASCONCELOS,JUSTO SIERRA 143,"2",HU,30 034 028
"30","034","027",119.9762599936,VALLE DE VASCONCELOS,JUSTO SIERRA 145,"2",HU,30 034 027
"30","035","030",239.1636246908,VALLE DE VASCONCELOS,ALBERTO C SILLER 225,"0",HU,30 035 030
